	ID	sentence	question	1	2	answer
0	1	이퀄라이저로 저음 음역대 소리 크기를 키웠다.	결과	베이스 소리가 잘 들리게 되었다.	베이스 소리가 들리지 않게 되었다.	1
1	2	음료에 초콜렛 시럽을 넣었다.	결과	음료수가 더 달아졌다.	음료수가 차가워졌다.	1
2	3	남자는 휴대폰을 호수에 빠뜨렸다.	결과	휴대폰이 업그레이드 되었다.	휴대폰이 고장났다.	2
3	4	옆 집 사람이 이사를 나갔다.	원인	옆 집 사람은 계약이 완료되었다.	옆 집 사람은 계약을 연장했다.	1
4	5	문을 밀었다.	결과	문이 잠겼다.	문이 열렸다.	2
5	6	만년설이 녹았다.	결과	지구의 기온이 내려갔다.	지구의 기온이 올라갔다.	2
6	7	케이크 촛불을 불었다.	결과	촛불이 꺼졌다.	촛불이 활활 타오른다.	1
7	8	검은 선글라스를 썼다	원인	밖이 아주 어두웠다	햇빛이 너무 강했다	2
8	9	여성은 다이빙대에서 뛰어내렸다.	결과	여성은 수영장에 빠졌다.	여성은 다이빙대로 달렸다.	1
9	10	소녀의 얼굴이 창백해졌다.	원인	소녀가 강아지와 함께 놀았다.	소녀가 무서운 영화를 봤다.	2
10	11	이불에 커피를 쏟았다.	결과	커피가 시원해졌다.	이불이 젖었다.	2
11	12	욕조 물이 내려가지 않는다.	원인	배수구 고무 마개를 뽑았다.	배수구 고무 마개를 뽑지 않았다.	2
12	13	학생이 교칙을 어겼다.	결과	학생은 선생님께 칭찬을 받았다.	학생은 선생님께 꾸중을 들었다.	2
13	14	남자가 승진을 했다.	원인	남자가 불성실하다.	남자가 큰 프로젝트를 성공시켰다.	2
14	15	그는 유언을 남겼다.	원인	그의 아내가 사망했다.	그는 죽음을 앞두고 있다.	2
15	16	그 군대가 항복했다.	원인	그 군대가 수적으로 열세였다.	그 군대가 도시를 점령했다.	1
16	17	남자가 공황발작을 일으켰다.	원인	남자가 공황장애를 앓고 있다.	남자가 감기에 걸렸다.	1
17	18	캠프에 온 학생들이 무서워했다.	원인	캠프 교관이 귀신 이야기를 했다.	캠프파이어에서 마시멜로를 구워먹었다.	1
18	19	스피커 근처에 마이크를 가져다대었다.	결과	스피커에서 아무런 소리도 나지 않는다.	소름끼치게 큰 소리가 울려퍼진다.	2
19	20	여성이 남성을 경찰에 신고했다.	원인	남성이 경찰차에서 내렸다.	여성이 남성의 범죄현장을 목격했다.	2
20	21	필통 지퍼를 열었다.	결과	지익 소리가 난다.	아무 소리도 나지 않는다.	1
21	22	만두를 찜기에 넣었다.	결과	만두를 빚었다.	만두가 익었다.	2
22	23	여자가 전기차에 플러그를 꽂았다.	결과	전기차가 충전되었다.	전기차가 방전되었다.	1
23	24	딸이 알레르기 발작을 일으켰다.	결과	딸을 응급실에 데려갔다.	딸을 재웠다.	1
24	25	철제 틴케이스에 물건을 담았다.	결과	케이스가 흔들릴 때마다 요란한 소리가 난다.	캐이스 안에 물건을 마음껏 담을 수 있다.	1
25	26	나는 마트에서 할인 쿠폰을 사용했다.	결과	물건을 판매가보다 싼 값에 구입했다.	물건을 판매가보다 비싼 값에 구입했다.	1
26	27	여자가 옷장을 열었다.	결과	여자가 신발을 꺼냈다.	여자가 코트를 꺼냈다.	2
27	28	아기가 잠들었다.	원인	아빠가 아이를 안고 토닥거렸다.	아빠가 아이에게 밥을 먹였다.	1
28	29	초밥에서 매운 맛이 심하게 났다.	원인	초밥에 와사비가 많이 들어갔다.	초밥에 와사비가 적게 들어갔다.	1
29	30	ATM에서 현금 인출 버튼을 눌렀다.	결과	투입구에서 지폐가 나왔다.	지폐를 투입구에 넣었다.	1
